,Compound,Date,Negative,Neutral,Positive,Tweet_Count,User
0,-0.3182,Sat Dec 09 21:09:02 +0000 2017,0.905,0.095,0.0,99,@BBCWorld
1,-0.4404,Sat Dec 09 21:09:02 +0000 2017,0.775,0.225,0.0,98,@BBCWorld
2,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,97,@BBCWorld
3,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,96,@BBCWorld
4,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,95,@BBCWorld
5,-0.2732,Sat Dec 09 21:09:02 +0000 2017,0.909,0.091,0.0,94,@BBCWorld
6,0.4404,Sat Dec 09 21:09:02 +0000 2017,0.686,0.105,0.209,93,@BBCWorld
7,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,92,@BBCWorld
8,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,91,@BBCWorld
9,-0.4404,Sat Dec 09 21:09:02 +0000 2017,0.58,0.42,0.0,90,@BBCWorld
10,-0.5574,Sat Dec 09 21:09:02 +0000 2017,0.769,0.231,0.0,89,@BBCWorld
11,0.5423,Sat Dec 09 21:09:02 +0000 2017,0.243,0.328,0.429,88,@BBCWorld
12,0.0516,Sat Dec 09 21:09:02 +0000 2017,0.934,0.0,0.066,87,@BBCWorld
13,-0.2023,Sat Dec 09 21:09:02 +0000 2017,0.816,0.184,0.0,86,@BBCWorld
14,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,85,@BBCWorld
15,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,84,@BBCWorld
16,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,83,@BBCWorld
17,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,82,@BBCWorld
18,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,81,@BBCWorld
19,-0.5423,Sat Dec 09 21:09:02 +0000 2017,0.667,0.333,0.0,80,@BBCWorld
20,-0.25,Sat Dec 09 21:09:02 +0000 2017,0.778,0.222,0.0,79,@BBCWorld
21,-0.25,Sat Dec 09 21:09:02 +0000 2017,0.905,0.095,0.0,78,@BBCWorld
22,-0.4404,Sat Dec 09 21:09:02 +0000 2017,0.707,0.293,0.0,77,@BBCWorld
23,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,76,@BBCWorld
24,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,75,@BBCWorld
25,-0.4767,Sat Dec 09 21:09:02 +0000 2017,0.693,0.307,0.0,74,@BBCWorld
26,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,73,@BBCWorld
27,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,72,@BBCWorld
28,-0.128,Sat Dec 09 21:09:02 +0000 2017,0.571,0.429,0.0,71,@BBCWorld
29,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,70,@BBCWorld
30,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,69,@BBCWorld
31,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,68,@BBCWorld
32,-0.5106,Sat Dec 09 21:09:02 +0000 2017,0.645,0.355,0.0,67,@BBCWorld
33,-0.6249,Sat Dec 09 21:09:02 +0000 2017,0.594,0.406,0.0,66,@BBCWorld
34,0.2023,Sat Dec 09 21:09:02 +0000 2017,0.859,0.0,0.141,65,@BBCWorld
35,0.5859,Sat Dec 09 21:09:02 +0000 2017,0.678,0.0,0.322,64,@BBCWorld
36,0.0258,Sat Dec 09 21:09:02 +0000 2017,0.82,0.0,0.18,63,@BBCWorld
37,-0.6705,Sat Dec 09 21:09:02 +0000 2017,0.593,0.407,0.0,62,@BBCWorld
38,0.4588,Sat Dec 09 21:09:02 +0000 2017,0.667,0.0,0.333,61,@BBCWorld
39,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,60,@BBCWorld
40,-0.4939,Sat Dec 09 21:09:02 +0000 2017,0.714,0.286,0.0,59,@BBCWorld
41,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,58,@BBCWorld
42,0.4881,Sat Dec 09 21:09:02 +0000 2017,0.834,0.0,0.166,57,@BBCWorld
43,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,56,@BBCWorld
44,0.3182,Sat Dec 09 21:09:02 +0000 2017,0.777,0.0,0.223,55,@BBCWorld
45,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,54,@BBCWorld
